ProbeName,Symbol,amplitude,variance_amp_layer,sd_amp_layer,cv_amp_layer,variance_amp_subj,sd_amp_subj,cv_amp_subj,phase,variance_phase_layer,sd_phase_layer,cv_phase_layer,variance_phase_subj,sd_phase_subj,cv_phase_subj,magnitude,variance_magn_layer,sd_magn_layer,cv_magn_layer,variance_magn_subj,sd_magn_subj,cv_magn_subj
A_24_P378019,IRF7,0.477004436260996,0.001729596292547,0.041588415364697,0.087186642729549,0.026541291920794,0.162914983720938,0.341537669959526,0.417205209531514,9.14113903256057E-05,0.009560930411085,0.000398372100462,0.089428775552096,0.299046443804463,0.012460268491853,9.68357262240863,0,0,0,0.012872862175322,0.113458636406938,0.011716609234115
A_23_P95594,NAT1,0.225556896671047,0.003910885711758,0.062537074697799,0.277256318120935,0.051763331094094,0.227515562311886,1.00868368766261,-2.00619386042471,0.082943967241958,0.287999943128394,0.01199999763035,0.04140881171118,0.203491551940566,0.00847881466419,6.38237783889481,0.00450386639626,0.067110851553676,0.010515023279364,0.065822079338845,0.256558140270086,0.040197892814587
A_24_P123408,ABLIM3,0.185680544301101,0.030046204551587,0.173338410491116,0.933530279887748,0.005410752248241,0.073557815684268,0.396152520777762,7.88582275912826,0.25239395684636,0.502388253093521,0.020932843878897,0.429851193084631,0.655630378402825,0.027317932433451,6.33441788827895,1.05173417535373,1.02554091842,0.161899788821579,0.061965885876375,0.248929479725434,0.03929792509996
A_23_P371410,PRKACB,0.276031955064491,0.007184484958335,0.084761341178247,0.307070756204454,0.036415244954074,0.190827788736531,0.691324990586495,-9.84447948325618,0.037779021250701,0.194368261942893,0.008098677580954,0.311163217684724,0.55782005851773,0.023242502438239,5.02242765453019,0.266977422982176,0.516698580394969,0.102878252497855,0.027592870834154,0.166111019604822,0.033073850143962
A_23_P331748,CD33,0.219672676836213,6.19551363845551E-05,0.007871158516035,0.035831304235911,0.001800984171567,0.042438003859358,0.193187448118548,0.532071957563679,0.065312801498542,0.255563693623609,0.010648487234317,0.083784232022851,0.28945506045473,0.012060627518947,6.66260940090702,0.874633054027704,0.935218185252887,0.140368154423936,0.170684494845706,0.413139800607138,0.062008707962213
A_23_P315789,RFXAP,0.223751365498949,0.00161171261165,0.040146140681886,0.179422997452386,0.04922795395568,0.221873734262711,0.991608403228956,-1.85969255398563,0.009021408902685,0.094981097607289,0.003957545733637,0.074841972269025,0.273572608769638,0.011398858698735,6.41363650403185,0.109588975284749,0.331042256041051,0.051615375432166,0.027748813146508,0.166579750109394,0.025972745727744
A_32_P196263,ADAMTS9,0.153387980902288,0.010623255352704,0.103069177510565,0.671950806733827,0.000250069947519,0.015813600080898,0.103095431518665,1.15889122116843,0.044252351979821,0.210362430057796,0.008765101252408,0.677758958100112,0.823261172472085,0.034302548853004,6.06218295673296,3.18877896788157,1.78571525386372,0.294566374292682,0.027976409475963,0.167261500280138,0.027590968711093
A_23_P131089,KANK3,0.307141252389983,0.039246475091289,0.198107231294794,0.645003657936685,4.53806963551827E-06,0.002130274544635,0.006935813825262,-9.21643305147317,0.418683655538671,0.647057691043597,0.026960737126817,0.395713642411263,0.629057741714751,0.026210739238115,7.25889603206477,2.30886241166768,1.51949413018533,0.209328543000652,0.014667523325273,0.121109550925072,0.016684293367765
A_23_P19778,SLC13A4,0.134475458706737,0.011330547686615,0.10644504538312,0.791557406881613,0.006224928041627,0.078898213171319,0.586710868511548,3.15184157818301,0.734672920274201,0.857130631977531,0.035713776332397,0.933257496483246,0.966052532983194,0.0402521888743,6.0554408673449,0.112213989206021,0.334983565576016,0.055319434689302,0.045430496291254,0.213144308606291,0.035198809347757
A_23_P4294,ZNF232,0.272288745958974,2.1509180452726E-05,0.00463779909577,0.017032650686448,0.009290490987704,0.096387193068912,0.35398889781304,-0.568544501231238,0.012901805338654,0.113586114198232,0.00473275475826,0.058347567261903,0.24155241100412,0.010064683791838,7.13160097806687,0.000174245902055,0.013200223560793,0.00185094813933,0.1120757524784,0.33477716839474,0.046942778967071
A_23_P38427,RAB11FIP4,0.235843966576113,0.000109508486075,0.010464630240721,0.044370989822813,0.002300595470446,0.047964523039913,0.203373966848684,11.8380155452027,3.54489250501238E-06,0.001882788491842,7.84495204934134E-05,0.106435649161357,0.326244768787726,0.013593532032822,8.64117513634458,0.493066043348168,0.702186615756928,0.081260546705453,0.038068055687914,0.19511036796622,0.022579147498769
A_23_P386411,PPID,0.352282798046812,0,0,0,0.02789408465214,0.167015222815586,0.474094175876826,0.044904415926666,0,0,0,0.049548914231861,0.222595854031158,0.009274827251298,8.34479894479416,0.015160131169052,0.123126484433903,0.01475487728925,0.047495800024707,0.217935311559892,0.026116304658946
A_23_P2294,HELB,0.276838836842416,0,0,0,0.000149248465863,0.012216728934646,0.044129389770555,-0.321407823976642,0,0,0,0.007434139183524,0.086221454311117,0.003592560596297,4.92473678315455,0.001815780601801,0.042611977210651,0.0086526405546,0.022168598901351,0.148891231781294,0.030233338011199
A_23_P62731,MRPS14,0.251461463447189,0.000215873206561,0.014692624223086,0.05842892991105,0.001927406897592,0.043902242512108,0.174588352069015,2.39244446377701,0.006521524797087,0.080755958276076,0.003364831594837,0.121958122187109,0.34922503087137,0.014551042952974,9.01166200485931,0,0,0,0.027694884642191,0.166417801458229,0.018466937771134
A_23_P378526,RTEL1,0.244212638897337,0.002911291009062,0.053956380614916,0.220940164516212,0.006422781205513,0.080142256054551,0.328165882062482,3.04445766846578,0.049410846082838,0.222285505786675,0.009261896074445,0.162688748089583,0.403346932664156,0.01680612219434,8.28575204976018,0.019540557543044,0.139787544305791,0.016870833626965,0.023083746282297,0.151933361320999,0.018336701413289
A_32_P18440,ARID5B,0.1780272875417,0.018746191270798,0.13691673115729,0.769077218711312,0.01110109496674,0.105361733882563,0.591829125396766,0.072921193414101,0.000215620581211,0.014684024693892,0.000611834362246,5.82754413669256E-05,0.007633835298651,0.000318076470777,9.48212846905339,0.020588127086423,0.14348563372834,0.015132217855583,0.06114407964231,0.247273289383042,0.026077825267825
A_23_P11629,TMEM61,0.194421486363582,0.000212407932661,0.014574221511318,0.074961989972976,9.04013798064747E-05,0.009507964020045,0.048903874761376,6.33249426172266,0.73786847661811,0.858992710456911,0.035791362935705,0.020888704481096,0.144529251299162,0.006022052137465,8.27124356774343,0.048961128547299,0.221271617129941,0.02675191648241,0.065170552444206,0.255285237419257,0.030864190532948
A_24_P75072,SMUG1,0.204509025587043,0.008594185370535,0.092704829272993,0.453304341981408,0.01270696095543,0.112725156710601,0.551198933088766,2.61670018333155,0.137175281297328,0.370371814933761,0.015432158955573,0.027511834065741,0.165866916730677,0.006911121530445,7.83581481485813,0.311862211090594,0.55844624727058,0.071268433528019,0.092496526926171,0.304132416763112,0.038813119496701
A_23_P78871,KCTD15,0.300568251229831,0.0084699001166,0.092032060264888,0.306193551342572,0.046317706834012,0.215215489298545,0.716028683728075,0.957906176293352,0.006152560393326,0.078438258479684,0.003268260769987,0.146547159911315,0.382814785387549,0.015950616057815,8.06519402162164,0.654772849632241,0.8091803566772,0.100329930626331,0.040200126478013,0.200499691964883,0.024859872115584
